year,petroleo_precio_nominal_usd_bbl,deflactor_eeuu_2019,petroleo_precio_real_usd2019_bbl,jacks_beef,jacks_hides,jacks_lamb,jacks_pork,jacks_coal,jacks_natural_gas,jacks_petroleum,jacks_barley,jacks_corn,jacks_rice,jacks_rye,jacks_wheat,jacks_aluminum,jacks_chromium,jacks_copper,jacks_lead,jacks_manganese,jacks_nickel,jacks_steel,jacks_tin,jacks_zinc,jacks_bauxite,jacks_iron_ore,jacks_phosphate,jacks_potash,jacks_sulfur,jacks_gold,jacks_platinum,jacks_silver,jacks_cocoa,jacks_coffee,jacks_cotton,jacks_cottonseed,jacks_palm_oil,jacks_peanuts,jacks_rubber,jacks_saw_logs,jacks_soybeans,jacks_sugar,jacks_tea,jacks_tobacco,jacks_wool,jacks_indice_vp1975,jacks_indice_vp2019,jacks_indice_igual,jacks_sub_cultivados,jacks_sub_subsuelo,jacks_sub_subsuelo_sin_energia,gycpi_nominal,gycpi_metales_nominal,muv_g5,gycpi_real,gycpi_metales_real,cmo_petroleo_real2010,cmo_carbon_aus_real2010,cmo_gas_eeuu_real2010,cmo_gas_europa_real2010,cmo_cobre_real2010,cmo_hierro_real2010,cmo_aluminio_real2010,cmo_oro_real2010,cmo_estano_real2010,cmo_niquel_real2010,cmo_zinc_real2010,usgs_prod_mundial_aluminio_t,usgs_prod_mundial_bauxita_t,usgs_prod_mundial_cobre_t,usgs_prod_mundial_oro_t,usgs_prod_mundial_hierro_t,usgs_prod_mundial_plomo_t,usgs_prod_mundial_niquel_t,usgs_prod_mundial_fosfato_t,usgs_prod_mundial_plata_t,usgs_prod_mundial_estano_t,usgs_prod_mundial_zinc_t,mundo_oil_prod_twh,mundo_oil_cum_twh,mundo_gas_prod_twh,mundo_gas_cum_twh,mundo_coal_prod_twh,mundo_coal_cum_twh,mundo_gigantes_n,mundo_gigantes_eur_mbep,mundo_gigantes_eur_petroleo_mbep,mundo_gigantes_eur_cum_mbep
1959,2.0799999237060547,0.11413731575165538,18.223662524461353,259.81,66.3,217.64,41.16,128.05,50.34,149.67,58.98,89.13,50.07,55.72,77.56,21.09,67.29,53.76,78.0,123.01,41.36,98.48,95.28,72.81,66.18,100.73,48.21,16.02,66.27,47.6,110.4,39.37,60.82,125.58,92.12,74.7,71.5,86.45,17.61,355.78,29.48,29.3,89.02,236.45,60.62,107.39,114.43,88.56,95.62,118.17,87.98,37.113,35.379,36.33,102.15524360033031,97.38232865400495,,,,,,,,,,,,4060000.0,23100000.0,3430000.0,1130.0,432000000.0,2320000.0,285000.0,38400000.0,6910.0,164000.0,3020000.0,11360.858,182425.73500000004,4659.676,60870.048,14854.895,553990.2920000001,16.0,38406.714,30107.101000000002,864019.311
1960,1.899999976158142,0.11596459563620604,16.384310795328044,270.78,49.21,298.57,47.4,123.95,53.37,147.23,56.72,82.65,46.5,48.38,77.22,21.85,42.2,54.4,75.15,112.75,40.72,96.95,93.24,81.07,64.42,97.65,51.37,15.35,64.4,46.89,121.24,38.75,46.46,122.79,86.73,114.85,68.46,88.65,18.1,375.63,28.16,30.49,88.6,238.73,57.18,107.74,113.87,90.12,98.45,116.24,86.67,37.327,36.781,37.079,100.66884220178538,99.19631058011272,8.51497812264,,0.73134776287,2.11450397643,3545.76114458085,59.65708179959,2671.88414502955,184.24739711659,11475.5429210635,8520.20143740156,1286.08374752276,4490000.0,27600000.0,3940000.0,1190.0,514000000.0,2390000.0,320000.0,41800000.0,7320.0,183000.0,3090000.0,12240.843,194666.57800000004,5072.324,65942.372,15475.8,569466.0920000002,11.0,32681.207000000002,30431.207000000002,896700.518
1961,1.7999999523162842,0.1171103536170428,15.370117984635085,248.2,52.78,241.74,51.05,119.84,56.6,145.75,57.81,80.47,51.0,54.85,80.9,21.22,34.01,50.28,67.67,121.27,42.54,95.98,103.11,71.52,68.92,105.7,50.85,16.0,63.75,46.4,120.02,38.81,37.37,117.88,88.18,95.88,68.98,95.66,13.81,384.9,33.19,27.1,81.08,212.71,57.52,106.28,112.03,87.46,96.61,115.15,86.31,36.466,35.242,37.453,97.36469708701571,94.09660107334524,8.04502477751,,0.76863294053,2.07415084711,3244.06229750676,56.46890003071,2620.89398959006,180.62874102382,12553.7829048154,8767.53974161002,1098.16296286278,4700000.0,29400000.0,4090000.0,1230.0,495000000.0,2390000.0,361000.0,45500000.0,7370.0,187000.0,3490000.0,13029.392,207695.97000000003,5449.435,71391.807,14579.534,584045.6260000002,22.0,40982.182,36167.874,937682.7000000001
1962,1.7999999523162842,0.11838637441916557,15.204452042285723,256.99,53.51,226.83,49.7,115.92,59.7,144.11,62.54,79.58,57.21,50.85,79.72,19.66,60.05,50.84,59.28,102.15,43.04,94.9,103.15,71.2,81.78,100.96,44.48,15.82,59.44,45.85,118.68,44.99,35.36,108.36,84.22,88.86,64.57,95.45,12.8,418.91,30.18,27.81,81.95,189.02,59.91,106.53,112.02,86.91,98.85,113.58,84.95,36.486,34.734,37.453,97.418097348677,92.74023442714869,7.64613777441,,0.80485660783,2.03615641028,3245.29921770188,55.38419532646,2505.41998371683,177.21936433708,12431.9325394999,8858.45303995444,935.26853007015,5060000.0,31100000.0,4220000.0,1290.0,499000000.0,2510000.0,357000.0,63300000.0,7650.0,190000.0,3570000.0,14133.672,221829.64200000002,5961.995,77353.802,14930.751,598976.3770000002,19.0,46814.535,44065.203,984497.2350000001
1963,1.7999999523162842,0.11980048425143124,15.024980604740584,236.98,39.05,271.92,40.9,112.01,59.0,142.42,65.28,87.26,52.65,57.31,76.05,18.37,55.07,50.24,67.77,86.11,42.05,94.78,103.72,72.67,86.49,104.3,43.95,15.63,53.55,45.13,113.67,52.47,42.14,103.64,82.75,92.95,65.63,96.05,11.7,403.7,32.66,81.63,79.32,178.65,62.96,105.51,110.41,87.63,97.99,112.41,84.89,41.419,34.747,37.453,110.58927188743223,92.77494459722851,7.68632940527,,0.81987513656,2.00536917292,3309.99392307195,56.46890003071,2555.93647606559,179.80886588726,12850.1763070486,8924.68247611774,1083.81514797294,5320000.0,30700000.0,4290000.0,1340.0,510000000.0,2560000.0,339000.0,54600000.0,7780.0,194000.0,3660000.0,15164.043,236993.68500000003,6523.504,83877.306,15383.595,614359.9720000002,18.0,36398.959,22654.393,1020896.1940000001
1964,1.7999999523162842,0.12147471462140466,14.817898176803883,295.1,35.39,297.34,39.99,112.04,54.58,139.35,67.55,85.89,49.68,54.46,63.92,19.01,58.09,51.78,81.64,89.32,41.5,96.62,138.28,81.09,87.44,105.6,47.15,16.71,53.38,44.55,122.63,52.34,38.08,128.16,82.26,85.21,69.73,94.78,10.86,339.65,32.35,55.53,76.14,195.27,65.45,106.07,111.43,89.43,99.85,111.78,87.0,41.046,37.62,38.202,107.44463640647086,98.47651955395006,7.32756973918,,0.75802445578,1.94129963247,4900.64495158511,51.7478028477,2658.06647945263,177.37772265178,17246.2776305461,8801.50618096429,1649.9244529378,5940000.0,33400000.0,4450000.0,1390.0,573000000.0,2530000.0,371000.0,63700000.0,7730.0,197000.0,4030000.0,16376.738,253370.42300000004,7127.606,91004.912,16064.467,630424.4390000001,24.0,127824.408,102706.511,1148720.6020000002
1965,1.7999999523162842,0.12354661436542104,14.569399263279843,304.2,48.27,224.04,53.31,109.91,57.24,135.85,64.3,87.57,48.29,50.3,58.13,19.32,59.87,55.79,94.44,85.64,40.8,95.0,153.73,85.19,77.72,101.52,51.92,14.91,58.58,43.82,133.6,51.46,27.04,124.83,79.33,83.07,78.03,94.85,10.99,386.59,33.64,19.11,80.78,163.24,57.53,104.71,110.56,88.18,99.24,109.72,86.11,38.119,40.499,38.951,97.86398295294087,103.97422402505714,7.10759401475,,0.80085566363,2.05602726119,6471.13483169738,53.36535083613,2703.54774949841,175.78781816773,19474.7241779624,8684.27860253455,1557.91453316362,6310000.0,37400000.0,4660000.0,1440.0,611000000.0,2700000.0,425000.0,71400000.0,8010.0,204000.0,4310000.0,18231.082,271601.50500000006,7638.485,98643.397,16381.558,646805.9970000001,24.0,76868.12,44882.787000000004,1225588.722
1966,1.7999999523162842,0.12699629255874123,14.17364173433415,342.97,58.06,221.97,53.8,109.5,55.65,133.03,66.54,89.85,57.39,53.06,61.74,18.79,54.18,56.02,86.77,87.28,39.67,91.74,137.62,82.83,76.23,101.38,46.87,13.52,65.21,42.62,132.12,50.04,37.26,112.68,75.3,113.97,65.6,91.41,9.98,395.19,35.16,16.73,68.65,198.32,60.41,107.21,110.97,89.69,107.2,107.22,83.43,37.935,40.568,39.7,95.55415617128463,102.18639798488664,6.56522467523,,0.77237937356,2.05128835116,7393.18318121391,45.95657272664,2607.41680674756,169.58554620661,17250.65079938,8394.79831634788,1357.01424001037,6880000.0,40700000.0,4580000.0,1450.0,626000000.0,2850000.0,412000.0,84500000.0,8300.0,211000.0,4500000.0,19796.811,291398.31600000005,8219.038,106862.435,16608.723,663414.7200000001,25.0,108587.776,16420.061,1334176.4980000001
1967,1.7999999523162842,0.13068779855694052,13.77328237365653,339.45,38.19,230.6,45.95,108.29,54.09,133.42,65.52,82.05,72.74,52.05,52.22,18.63,57.45,57.55,78.08,83.31,42.98,89.61,125.07,76.83,83.84,99.97,42.05,12.18,80.4,41.21,141.96,58.26,41.84,101.9,79.5,92.78,60.45,89.62,8.03,410.18,31.2,17.18,63.81,158.39,52.88,106.88,109.95,87.42,107.26,106.53,81.77,36.846,41.509,39.7,92.81108312342568,104.55667506297229,6.36446339301,,0.76564973149,2.18519963146,5430.23912454796,42.39785388128,2584.69871971848,167.24661322243,15829.9278313343,9262.92615778713,1307.98495796274,7570000.0,44600000.0,4630000.0,1420.0,616000000.0,2870000.0,449000.0,87300000.0,8030.0,218000.0,4840000.0,21238.463,312636.77900000004,8845.135,115707.56999999999,16018.826,679433.5460000001,24.0,53499.488,46099.132,1387675.986
1968,1.7999999523162842,0.13614639090877934,13.221062565825328,339.58,34.41,251.95,45.82,105.28,51.91,129.53,60.28,69.56,67.43,46.69,44.18,18.31,57.64,60.46,70.71,71.88,44.44,89.2,115.91,71.93,78.59,97.35,38.67,11.0,93.76,44.05,144.85,77.41,48.39,98.12,77.2,81.46,43.84,89.79,7.55,400.88,28.92,16.44,54.83,140.91,50.42,103.87,107.56,85.04,103.51,104.2,81.24,37.431,43.914,39.326,95.18130498906575,111.66658190510094,6.37212983185,,0.77237937356,2.18101531886,5995.36558710986,42.33604441309,2669.49800495428,187.90541947317,15094.6261886618,10014.3813152753,1269.07563008351,8020000.0,46000000.0,5010000.0,1440.0,668000000.0,3010000.0,497000.0,94100000.0,8560.0,232000.0,4970000.0,23170.031,335806.81000000006,9675.573,125383.143,16464.762,695898.3080000001,22.0,57515.551,35307.495,1445191.537
1969,1.7999999523162842,0.14348810751317792,12.544593301232107,363.14,42.39,251.14,57.34,106.71,52.34,127.43,58.12,71.4,58.91,44.75,43.55,18.46,54.7,65.17,75.69,61.89,46.82,90.45,122.14,73.82,77.19,96.35,35.9,9.57,60.69,44.12,145.65,61.34,57.19,94.16,67.11,62.92,44.63,88.08,9.41,369.43,26.44,26.26,50.47,123.5,48.4,104.33,107.92,82.98,105.09,103.63,81.77,39.761,47.712,40.449,98.2990926846152,117.95594452273235,5.81922467875,,0.77895133495,2.07026899098,6723.44971662373,45.0875360936,2696.31653897396,188.246572613,15704.8044292679,10829.2563824802,1312.34207994649,8970000.0,51800000.0,5520000.0,1450.0,701000000.0,3240000.0,487000.0,92100000.0,9200.0,229000.0,5340000.0,24940.334,360747.14400000003,10625.758,136008.90099999998,16797.789,712696.0970000001,28.0,59873.291,19703.378,1505064.828
1970,1.7999999523162842,0.15196137571131427,11.845114877979256,365.68,35.38,250.87,55.51,126.44,49.42,121.98,56.57,75.97,41.72,41.41,46.72,18.39,47.9,74.69,74.91,61.14,54.11,90.86,122.12,73.14,68.13,92.75,33.15,12.94,49.11,36.44,146.72,57.27,40.6,116.27,68.34,81.66,60.5,86.54,7.2,386.84,27.34,28.88,54.79,112.79,38.32,102.45,107.71,83.13,101.92,102.94,81.84,42.201,53.5,42.697,98.83832587769632,125.30154343396491,5.21223561082,33.59953534248,0.73229756516,1.92645094069,6098.31566465937,42.38710612435,2645.62073968159,154.82349992746,15823.8734748484,12260.3842938147,1274.26955725129,9650000.0,57800000.0,5900000.0,1480.0,757000000.0,3390000.0,628000.0,95100000.0,9360.0,232000.0,5460000.0,27433.883,388181.027,9760.88,145769.781,17469.682,730165.7790000001,22.0,38349.864,12825.601999999999,1543414.692
1971,2.240000009536743,0.1586166184431967,14.122101653168992,361.78,38.04,231.25,44.29,137.2,50.17,123.6,58.4,71.67,35.32,36.06,45.53,17.82,67.46,63.83,63.46,63.24,53.52,98.47,112.47,73.83,65.69,93.2,32.5,12.8,35.52,39.67,130.63,47.93,31.03,96.43,75.88,78.71,58.21,88.15,5.64,372.04,28.16,33.37,53.52,104.79,23.83,101.83,109.87,79.88,96.56,106.67,86.5,42.324,50.293,45.318,93.39335363431749,110.97797784544774,6.9220737642,35.55242619719,0.73726229441,2.05714015249,4429.37629378807,42.31066389597,2572.01864882187,167.12985299016,14384.6700142473,12009.593185805,1266.79411087039,10300000.0,62100000.0,5940000.0,1450.0,767000000.0,3490000.0,637000.0,94000000.0,9170.0,235000.0,5520000.0,29000.791,417181.818,10441.183,156210.96399999998,17310.953,747476.7320000001,27.0,225867.952,16736.999,1769282.644
1972,2.4800000190734863,0.16359204562146507,15.15966139828062,385.17,75.34,299.92,62.51,144.91,51.26,121.1,59.89,66.88,39.68,37.31,51.04,15.7,68.42,60.81,66.9,72.97,54.64,86.14,115.46,78.64,67.43,100.15,32.16,12.77,33.58,54.73,130.64,50.56,35.95,104.42,77.56,66.4,46.91,90.35,5.45,342.23,30.39,52.24,47.64,104.45,40.19,104.38,108.66,84.31,105.89,102.99,78.71,46.625,49.613,48.689,95.76084947318697,101.89775924746863,6.83371531437,36.045970889,0.71340984051,2.03571868417,3971.34606875211,38.78696659201,2215.71320959815,218.37537797865,14042.7530426455,11564.3735146899,1418.15237725871,11000000.0,64900000.0,6540000.0,1390.0,757000000.0,3450000.0,611000.0,101000000.0,9380.0,244000.0,5440000.0,30649.971,447831.78900000005,10955.471,167166.43499999997,17251.293,764728.025,18.0,31585.134000000002,6684.110000000001,1800867.7780000002
1973,3.289999961853028,0.17376658422075658,18.933444405360156,492.63,82.2,456.73,89.64,152.74,55.88,148.98,95.7,106.17,83.58,69.81,105.77,14.0,69.0,66.59,68.26,77.02,56.1,95.32,139.36,86.18,61.04,99.75,36.2,15.25,33.12,86.23,147.25,72.28,59.44,121.69,122.78,118.97,76.75,95.7,10.48,533.13,59.33,64.01,45.2,103.32,81.76,136.6,134.25,110.84,155.07,119.68,86.41,69.472,55.72,58.801,118.1476505501607,94.76029319229265,9.08970239387,37.16822207716,0.67990650141,2.24533205063,5780.36541991601,33.44492456943,1939.69389079517,315.10698494579,15547.8428622754,10920.9172376705,2736.89347234813,12100000.0,70400000.0,6920000.0,1350.0,832000000.0,3490000.0,710000.0,111000000.0,9700.0,238000.0,5710000.0,33445.121,481276.91000000003,11482.695,178649.12999999998,17558.373,782286.398,18.0,32099.529,15851.689999999999,1832967.3070000003
1974,11.579999923706056,0.19277899511134697,60.06878455309708,349.28,50.96,307.86,69.87,252.99,68.66,365.39,109.73,142.43,134.5,82.67,109.44,17.21,94.59,78.12,85.07,113.86,57.6,110.49,218.71,135.13,110.45,108.84,129.35,19.57,48.16,127.13,161.27,119.89,73.93,115.89,116.06,143.85,122.56,95.28,10.47,576.67,50.99,181.07,56.51,122.32,51.86,198.09,203.57,130.87,158.38,234.48,104.67,102.41,79.813,71.161,143.91309846685684,112.158345160973,29.15785585233,44.87254770133,0.77045819025,4.59618161772,5468.9247746114,35.54734684688,2031.93586142251,423.07453278261,21743.5699467377,10162.7420423037,3293.26597127134,13200000.0,79600000.0,7100000.0,1250.0,881000000.0,3490000.0,770000.0,123000000.0,9260.0,233000.0,5780000.0,33519.68,514796.59,11725.098,190374.22799999997,17712.754,799999.152,21.0,34145.464,19770.521999999997,1867112.7710000002
1975,11.529999732971191,0.2104080586772044,54.79828009182783,268.42,46.05,170.6,88.81,286.52,92.27,345.62,91.32,112.7,81.36,71.22,74.8,18.4,158.48,59.34,74.49,137.87,62.67,107.33,171.85,134.14,81.84,124.81,146.0,24.1,69.77,117.78,135.7,103.09,54.07,105.49,89.15,90.67,72.87,95.59,7.16,436.79,37.1,114.29,54.07,139.29,40.55,177.24,191.28,114.15,120.75,229.0,103.51,85.156,76.09,79.026,107.756940753676,96.28476703869615,24.95643600241,64.20615713823,1.02863813597,4.02387352497,2953.74636834702,41.38474360996,2077.45806635487,385.21102752753,16450.0169531613,10935.4599974384,1782.57407206311,12100000.0,74800000.0,6740000.0,1200.0,888000000.0,3440000.0,802000.0,109000000.0,9430.0,222000.0,5850000.0,31837.768,546634.358,11750.097,202124.32499999998,18767.678,818766.83,25.0,26358.193,11813.916000000001,1893470.9640000002
1976,12.800000190734863,0.2226229829714986,57.49631066785943,302.36,62.8,291.67,73.19,275.3,115.01,343.44,81.68,100.04,52.88,70.48,62.9,19.41,128.41,60.77,75.57,151.98,64.46,100.51,181.62,121.53,90.73,137.48,73.65,15.55,67.14,86.32,120.58,96.09,83.94,217.65,120.45,85.73,64.52,92.23,9.34,562.94,36.88,61.05,53.14,156.35,46.49,173.27,190.8,119.39,116.97,224.85,96.69,83.11,81.408,78.652,105.66800589940497,103.50404312668464,27.48371653598,64.18381201824,1.37261036379,4.10037503163,3310.21629913642,53.69131844825,2103.06351734006,294.96156051422,17925.9565681089,11752.2623644217,1681.20153166326,12600000.0,77400000.0,7260000.0,1210.0,886000000.0,3690000.0,792000.0,109000000.0,9840.0,218000.0,5690000.0,34590.738,581225.096,12256.773,214381.09799999997,19299.518,838066.348,21.0,59579.365,16546.465,1953050.3290000001
1977,13.920000076293944,0.2372035058101413,58.68378727688608,270.66,64.94,456.68,65.8,264.81,147.16,347.86,65.86,77.88,53.39,55.22,49.44,21.07,119.43,54.59,94.35,155.66,61.05,105.77,240.15,105.21,90.61,142.87,119.31,14.55,61.28,95.98,112.34,96.09,146.09,335.87,105.46,56.67,79.02,90.98,9.24,532.01,41.99,40.27,82.19,151.4,43.96,172.51,192.84,126.79,110.52,229.31,102.26,93.125,87.752,86.517,107.63780528682226,101.42746512246148,27.4691084935,62.69584823163,1.727066901,3.91677481432,2861.13772997592,50.41286422406,2500.59686718984,322.94147068079,23620.2632639071,11189.134485811,1289.10605395158,13800000.0,81900000.0,7420000.0,1210.0,844000000.0,3410000.0,828000.0,121000000.0,10300.0,231000.0,5920000.0,35798.867,617023.963,12774.155,227155.25299999997,19885.986,857952.334,19.0,47861.903,41694.123,2000912.232
1978,14.020000457763672,0.25502887486499287,54.97416896492829,357.02,77.65,512.4,71.84,270.59,157.54,322.8,70.25,76.34,67.99,49.57,57.22,20.27,102.52,50.5,96.11,155.12,51.06,108.61,262.83,88.05,87.53,147.11,56.13,14.44,57.98,116.68,171.88,104.37,121.9,216.79,96.69,84.55,83.18,84.95,10.39,520.0,37.37,36.04,55.08,141.58,42.35,173.54,191.63,126.51,123.88,219.04,102.53,93.627,91.149,98.876,94.69133055544317,92.18516121202313,24.29875736789,54.66497541518,1.70404833928,4.33091914856,2567.5164398153,40.35161384836,2492.43455021185,363.52038385606,24220.7661950521,8670.89399210061,1117.27254039343,14100000.0,81000000.0,7280000.0,1210.0,833000000.0,3460000.0,658000.0,127000000.0,10700.0,241000.0,5850000.0,36124.168,653148.1309999999,13206.601,240361.85399999996,20194.787,878147.121,24.0,32426.661,19759.405,2033338.8930000002
1979,31.61000061035156,0.2839738698648504,111.31306068898337,432.76,107.35,583.89,55.5,293.35,183.59,433.67,74.95,77.95,55.35,46.12,64.59,20.38,117.38,63.92,135.14,154.16,59.75,97.61,267.21,95.28,76.27,147.01,57.22,16.81,64.33,166.42,262.42,192.13,106.0,207.65,92.34,77.85,81.41,74.54,11.95,816.22,37.27,40.03,52.87,131.53,43.67,206.03,230.98,147.04,136.4,269.84,97.66,113.25,121.1,114.61,98.81336707093622,105.66268213942938,52.21804152348,52.09226580556,1.98992792653,5.496735035,3347.89915159254,39.62992057075,2703.04427429802,517.15781560133,26050.1942669779,10094.66827815,1250.73153574361,14600000.0,85500000.0,7350000.0,1210.0,898000000.0,3510000.0,686000.0,134000000.0,10800.0,245000.0,5990000.0,37653.043,690801.1739999999,14097.017,254458.87099999996,21380.146,899527.267,28.0,89007.647,54751.376,2122346.54
1980,36.83000183105469,0.3223064308120329,114.27014266598272,364.83,59.37,587.5,47.69,276.01,217.92,602.33,79.16,79.68,63.97,52.07,61.27,20.97,112.57,62.48,95.94,150.9,55.96,99.42,279.6,84.18,66.66,145.06,63.46,20.63,90.48,290.58,354.53,317.24,73.83,165.71,98.23,70.36,64.02,80.0,11.88,826.73,32.66,104.59,51.34,112.47,40.06,244.78,277.88,155.58,133.24,346.97,101.75,138.83,144.72,125.47,110.647963656651,115.3423129034829,56.52604756317,61.54270644212,2.4364620645,6.4699758231,3345.51666519448,43.06673480352,2721.24245842062,931.95887726587,25718.7416118448,9994.2345138968,1167.07427238718,15400000.0,89200000.0,7200000.0,1220.0,884000000.0,3520000.0,779000.0,147000000.0,10700.0,245000.0,5950000.0,35949.586,726750.7599999999,14283.338,268742.209,20968.074,920495.341,17.0,13558.987000000001,6600.0,2135905.5270000002
1981,35.93000030517578,0.35555406020263247,101.05355085721438,296.32,48.87,507.15,51.71,270.12,245.86,587.85,73.09,72.11,64.76,53.6,50.98,13.52,113.18,45.15,69.68,139.43,46.3,94.25,213.93,84.77,67.56,142.85,63.01,19.33,102.12,199.11,211.65,145.37,53.43,124.24,80.76,45.53,56.71,73.7,8.49,592.12,28.81,56.12,41.21,103.95,33.05,229.25,262.25,128.38,111.35,337.28,93.32,117.94,124.21,119.1,99.02602854743913,104.29051217464315,54.34246527183,82.11478134613,3.03731784788,7.04453551272,2667.65839921454,43.01760925052,1933.77137830719,704.07707700119,21683.5780199079,9116.67542431802,1295.04596876821,15100000.0,85300000.0,7690000.0,1280.0,843000000.0,3350000.0,726000.0,145000000.0,11200.0,238000.0,5950000.0,33858.336,760609.0959999999,14530.98,283273.18899999995,21445.23,941940.571,13.0,15794.51,5781.5779999999995,2151700.037
1982,32.970001220703125,0.37745838074302684,87.34738159953338,269.66,42.57,415.44,71.46,259.7,287.83,505.21,55.04,52.57,36.23,40.41,41.19,10.0,102.13,36.17,49.37,161.76,35.45,90.27,182.53,70.33,73.33,138.91,52.1,13.76,93.63,153.36,146.31,103.23,42.02,126.01,64.96,40.88,41.68,45.7,6.11,528.67,23.02,26.24,40.76,108.17,27.27,200.85,233.88,112.18,94.74,298.07,87.44,96.784,110.54,115.73,83.62913678389354,95.51542383133155,51.53147498344,86.4468666029,3.89083902271,7.02402987872,2336.77898884761,51.29909461988,1565.12222323855,593.17011572828,20244.6747007897,7635.65977634515,1175.59109809159,13400000.0,79300000.0,7580000.0,1340.0,783000000.0,3450000.0,621000.0,129000000.0,11500.0,219000.0,6130000.0,32518.732,793127.8279999999,14597.483,297870.67199999996,22204.41,964144.981,13.0,27781.718,11666.464,2179481.755
1983,29.549999237060547,0.3895839867564431,75.85013820276542,266.76,48.27,325.58,55.92,243.48,293.6,454.35,59.33,67.2,33.08,35.4,41.34,14.06,94.72,37.66,37.28,128.15,33.18,102.79,179.02,69.94,62.55,161.02,46.77,11.92,73.24,167.06,182.79,144.11,49.72,115.12,73.05,79.22,45.49,51.66,7.34,481.62,25.68,25.57,53.66,108.59,24.69,188.04,222.12,109.81,89.63,278.22,97.66,102.78,118.37,110.49,93.02199294053761,107.1318671372975,48.08806431077,61.91842712632,4.20356195941,6.56679881798,2581.19782921292,47.02152240035,2332.32155878418,685.10358137308,21059.1022604016,7576.62654732236,1239.31437774712,13900000.0,78700000.0,7610000.0,1400.0,728000000.0,3350000.0,673000.0,143000000.0,12100.0,197000.0,6280000.0,32122.473,825250.3009999999,14728.053,312598.725,22137.172,986282.153,6.0,3974.666,3374.333,2183456.421
1984,28.780000686645508,0.4064033757429935,70.81634259073125,238.24,60.35,311.46,52.13,229.8,289.06,420.69,63.16,62.82,28.71,27.99,40.47,11.73,101.29,31.22,37.13,136.42,32.35,107.44,161.61,80.86,62.26,133.02,37.25,12.92,75.93,136.63,148.11,98.46,53.87,120.87,67.42,47.35,63.39,42.91,6.33,525.57,24.66,15.05,67.25,109.18,23.32,176.67,210.47,104.68,84.01,261.58,97.48,103.54,112.81,108.61,95.3319215541847,103.86704723321978,47.34600675458,51.32639270054,4.40177354358,6.23377345531,2283.47874367683,43.35456804691,2074.59483217228,597.6423060471,20282.1318131495,7878.77397937335,1528.49030343092,15700000.0,87200000.0,7810000.0,1460.0,823000000.0,3200000.0,773000.0,154000000.0,13100.0,188000.0,6520000.0,32752.219,858002.5199999999,15988.612,328587.337,23105.615,1009387.768,14.0,12524.969,5919.827,2195981.39
1985,27.559999465942383,0.42087587324298137,65.48248834884237,218.01,50.66,286.54,50.02,222.98,263.38,383.89,45.57,49.4,23.48,30.65,35.86,9.41,103.07,31.03,31.69,128.54,32.2,113.24,147.23,66.35,58.5,124.26,39.16,12.34,82.41,116.35,116.91,71.39,48.95,118.25,48.09,28.29,42.04,33.47,4.85,394.1,18.94,11.34,41.44,98.82,21.51,162.17,195.28,91.78,72.29,244.52,99.82,91.268,105.59,109.59,83.28132128843873,96.35003193722055,45.54267407263,56.54439913984,4.2066240644,6.11517205512,2374.66930175288,44.49834788605,1743.61984577221,532.61892057924,19332.3904501116,8207.803478599,1312.57002378616,15400000.0,84200000.0,7990000.0,1530.0,845000000.0,3390000.0,813000.0,151000000.0,13100.0,181000.0,6760000.0,32465.682,890468.2019999999,16410.34,344997.677,24276.461,1033664.229,11.0,15686.829,10257.001,2211668.219
1986,14.43000030517578,0.42869884486447735,33.65999343837157,207.87,62.16,311.66,53.97,205.12,199.85,204.76,36.17,37.02,21.8,22.09,32.39,10.21,90.19,29.44,32.31,120.09,25.09,111.17,77.18,62.69,54.46,108.09,38.44,10.62,80.15,132.12,182.48,62.34,44.12,154.25,37.83,34.66,21.19,48.32,5.06,440.44,17.27,16.6,38.59,98.78,22.84,117.67,141.47,85.76,72.74,158.84,96.72,88.358,105.34,130.3,67.81120491174212,80.84420567920183,20.90292416997,45.33822402721,2.81861730097,5.31677165299,2001.1187459536,38.25162290617,1675.05255089891,535.60162254879,8974.95332520837,5653.60977307858,1098.36248002088,15400000.0,88200000.0,7940000.0,1610.0,855000000.0,3240000.0,852000.0,141000000.0,13000.0,173000.0,6840000.0,34069.391,924537.5929999999,16834.781,361832.45800000004,24852.248,1058516.477,4.0,7628.941000000001,5800.608,2219297.16
1987,18.435039520263672,0.44434478810773403,41.48814167207917,228.71,74.87,319.77,49.87,193.43,165.98,250.92,40.36,30.15,24.24,23.31,29.59,13.41,84.19,36.93,45.82,121.76,30.33,76.19,80.85,64.02,44.52,90.25,35.18,9.45,66.13,154.77,210.39,77.52,41.01,86.85,56.95,35.37,27.25,35.59,5.96,618.72,17.25,17.89,37.05,98.4,27.57,124.84,145.58,89.97,78.97,166.86,71.91,95.215,108.047,142.9,66.63051084674598,75.61021693491952,24.12040350579,36.55445766664,2.20988312257,3.44276528569,2369.39791414476,33.63010105331,2080.76059327645,593.47491274799,8859.24974322021,6476.40865034083,1061.7962241321,16500000.0,91600000.0,8240000.0,1660.0,869000000.0,3430000.0,891000.0,147000000.0,14000.0,180000.0,7190000.0,34148.086,958685.6789999999,17678.574,379511.03200000006,25321.213,1083837.69,6.0,15691.151,4021.541,2234988.311
