year,finanzas__us_ltrate,finanzas__us_strate,finanzas__us_policy_rate,finanzas__us_infl,finanzas__us_real_ltrate,finanzas__us_real_strate,finanzas__us_reer,finanzas__us_debt_gdp,finanzas__share_bank_onset,finanzas__share_bank_onset_gdpw,finanzas__share_currency_onset,finanzas__share_currency_onset_gdpw,finanzas__share_sovdebt_onset,finanzas__share_sovdebt_onset_gdpw,finanzas__share_bank_active_lv,finanzas__share_bank_active_lv_gdpw,finanzas__world_debt_gdp_gdpw,finanzas__world_debt_gdp_median,finanzas__world_r_minus_g_median,finanzas__world_r_minus_g_eff_median,finanzas__n_countries_debt,finanzas__usd_index_major,finanzas__usd_index_broad,recursos__petroleo_precio_nominal_usd_bbl,recursos__deflactor_eeuu_2019,recursos__petroleo_precio_real_usd2019_bbl,recursos__jacks_beef,recursos__jacks_hides,recursos__jacks_lamb,recursos__jacks_pork,recursos__jacks_coal,recursos__jacks_natural_gas,recursos__jacks_petroleum,recursos__jacks_barley,recursos__jacks_corn,recursos__jacks_rice,recursos__jacks_rye,recursos__jacks_wheat,recursos__jacks_aluminum,recursos__jacks_chromium,recursos__jacks_copper,recursos__jacks_lead,recursos__jacks_manganese,recursos__jacks_nickel,recursos__jacks_steel,recursos__jacks_tin,recursos__jacks_zinc,recursos__jacks_bauxite,recursos__jacks_iron_ore,recursos__jacks_phosphate,recursos__jacks_potash,recursos__jacks_sulfur,recursos__jacks_gold,recursos__jacks_platinum,recursos__jacks_silver,recursos__jacks_cocoa,recursos__jacks_coffee,recursos__jacks_cotton,recursos__jacks_cottonseed,recursos__jacks_palm_oil,recursos__jacks_peanuts,recursos__jacks_rubber,recursos__jacks_saw_logs,recursos__jacks_soybeans,recursos__jacks_sugar,recursos__jacks_tea,recursos__jacks_tobacco,recursos__jacks_wool,recursos__jacks_indice_vp1975,recursos__jacks_indice_vp2019,recursos__jacks_indice_igual,recursos__jacks_sub_cultivados,recursos__jacks_sub_subsuelo,recursos__jacks_sub_subsuelo_sin_energia,recursos__gycpi_nominal,recursos__gycpi_metales_nominal,recursos__muv_g5,recursos__gycpi_real,recursos__gycpi_metales_real,recursos__cmo_petroleo_real2010,recursos__cmo_carbon_aus_real2010,recursos__cmo_gas_eeuu_real2010,recursos__cmo_gas_europa_real2010,recursos__cmo_cobre_real2010,recursos__cmo_hierro_real2010,recursos__cmo_aluminio_real2010,recursos__cmo_oro_real2010,recursos__cmo_estano_real2010,recursos__cmo_niquel_real2010,recursos__cmo_zinc_real2010,recursos__usgs_prod_mundial_aluminio_t,recursos__usgs_prod_mundial_bauxita_t,recursos__usgs_prod_mundial_cobre_t,recursos__usgs_prod_mundial_oro_t,recursos__usgs_prod_mundial_hierro_t,recursos__usgs_prod_mundial_plomo_t,recursos__usgs_prod_mundial_niquel_t,recursos__usgs_prod_mundial_fosfato_t,recursos__usgs_prod_mundial_plata_t,recursos__usgs_prod_mundial_estano_t,recursos__usgs_prod_mundial_zinc_t,recursos__mundo_oil_prod_twh,recursos__mundo_oil_cum_twh,recursos__mundo_gas_prod_twh,recursos__mundo_gas_cum_twh,recursos__mundo_coal_prod_twh,recursos__mundo_coal_cum_twh,recursos__mundo_gigantes_n,recursos__mundo_gigantes_eur_mbep,recursos__mundo_gigantes_eur_petroleo_mbep,recursos__mundo_gigantes_eur_cum_mbep,geopolitica__cinc_share_usa,geopolitica__cinc_share_rus,geopolitica__cinc_share_chn,geopolitica__cinc_top1_iso,geopolitica__cinc_top1_share,geopolitica__cinc_top2_share,geopolitica__cinc_lead_ratio,geopolitica__cinc_hhi,geopolitica__cinc_con,geopolitica__chn_usa_cinc_ratio,geopolitica__n_poles_10pct,geopolitica__gdp_share_usa,geopolitica__gdp_share_chn,geopolitica__gdp_share_rus,geopolitica__chn_usa_gdp_ratio,geopolitica__cold_war,geopolitica__bipolar,geopolitica__n_states,geopolitica__share_democracies_row,geopolitica__mean_polyarchy,geopolitica__coups_world,geopolitica__coups_success_world,geopolitica__dem_transitions_world,geopolitica__dem_breakdowns_world,geopolitica__mid_onsets_world,geopolitica__states_in_interstate_conflict,geopolitica__states_sanctioned,geopolitica__n_major_powers,geopolitica__mean_oda_gni,clima__gmst_hadcrut5,clima__gmst_gistemp,clima__gmst_preind,clima__co2_ppm_mlo,clima__co2_ppm_icecore,clima__co2_ppm,clima__co2_mt,clima__co2_pc,clima__co2_per_gdp,clima__co2_incl_luc_mt,clima__co2_luc_mt,clima__co2_coal_mt,clima__co2_oil_mt,clima__co2_gas_mt,clima__co2_cement_mt,clima__co2_flaring_mt,clima__co2_cons_mt,clima__co2_cons_pc,clima__co2_trade_mt,clima__co2_trade_share,clima__co2_cum_mt,clima__co2_cum_incl_luc_mt,clima__co2_cum_luc_mt,clima__co2_share_world,clima__co2_cum_share_world,clima__ch4_mtco2e,clima__n2o_mtco2e,clima__ghg_mtco2e,clima__ghg_excl_lucf_mtco2e,clima__ghg_pc,clima__dT_from_ghg,clima__dT_from_co2,clima__dT_share_world,clima__primary_energy_twh,clima__coal_prod_twh,clima__oil_prod_twh,clima__gas_prod_twh,clima__fossil_cons_twh,clima__fossil_share_energy,clima__fossil_prod_twh,clima__world_dis_n_total,clima__world_dis_n_climate,clima__world_dis_n_flood,clima__world_dis_n_storm,clima__world_dis_n_drought,clima__world_dis_n_extreme_temp,clima__world_dis_n_wildfire,clima__world_dis_n_geo,clima__world_dis_deaths,clima__world_dis_deaths_climate,clima__world_dis_affected,clima__world_dis_damage_kusd,clima__world_dis_damage_climate_kusd,clima__ef_cons_pc_2025ed,clima__biocap_pc_2025ed,clima__overshoot_ratio,clima__lpi,clima__lpi_hi,clima__lpi_lo,clima__material_footprint_t_sum,clima__co2_gtc,clima__co2_cum_incl_luc_gtco2
1920,,,,,,,,,,,,,,,,,,,,,,,,3.069999933242798,0.0784022010585133,39.15706308999652,97.73,113.71,120.82,108.92,146.46,52.29,253.39,84.73,152.78,55.73,118.37,146.81,38.01,29.74,43.8,73.99,100.2,34.19,75.43,65.58,70.97,62.5,71.56,69.13,118.7,81.4,40.62,238.83,41.06,32.88,59.29,119.61,71.71,89.79,61.58,30.01,169.82,72.11,171.52,37.52,245.67,116.07,133.92,132.63,94.88,106.0,159.5,71.23,41.951,29.684,28.839,145.4662089531537,102.93005998821042,,,,,,,,,,,,125000.0,901000.0,959000.0,507.0,124000000.0,804000.0,35700.0,6870000.0,5390.0,126000.0,682000.0,1155.382,11320.839,241.352,3292.025,8691.727,158420.547,2.0,1819.849,1819.849,39757.17600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3044,-0.2742,0.052956862745098,,301.88,301.88,3546.758,1.871,0.735,8323.49,4776.732,3132.616,361.039,41.685,9.07,,,,,,103677.336,366788.594,267684.312,100.0,100.0,2355.954,405.271,11081.009,4632.993,5.846,0.225,0.164,100.0,,8691.727,1155.382,241.352,,,10088.461,12.0,4.0,1.0,1.0,2.0,0.0,0.0,5.0,3206872.0,524224.0,20000167.0,685685.0,304749.0,,,,,,,,0.9680016375545852,366.788594
1921,,,,,,,,,,,,,,,,,,,,,,,,1.7300000190734863,0.0700355561469871,24.70173886308048,84.43,49.51,102.32,71.83,126.37,62.97,129.88,53.52,69.38,71.43,75.7,95.4,29.48,20.3,35.11,47.24,36.4,38.28,53.38,45.51,48.27,71.3,58.05,75.24,90.67,81.79,45.47,180.91,46.53,21.11,39.8,87.93,91.26,55.85,55.74,12.84,143.15,46.87,49.81,36.48,209.16,69.04,86.27,84.31,69.42,77.15,94.63,52.79,21.356,20.219,24.345,87.72232491271309,83.05196138837545,,,,,,,,,,,,70000.0,318000.0,558000.0,498.0,73000000.0,783000.0,10400.0,5430000.0,5330.0,110000.0,464000.0,1250.841,12571.68,249.729,3541.754,7258.013,165678.56,1.0,1124.558,1124.558,40881.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2414,-0.1908,0.115956862745098,,,302.81666666666666,3114.994,1.63,,8100.611,4985.617,2672.104,397.27,34.992,8.94,,,,,,106792.328,374889.219,272669.906,100.0,100.0,2312.747,410.452,10820.044,4143.767,5.662,0.23,0.167,100.0,,7258.013,1250.841,249.729,,,8758.582999999999,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1200000.0,1200000.0,5000000.0,0.0,0.0,,,,,,,,0.8501621179039301,374.889219
1922,,,,,,,,,,,,,,,,,,,,,,,,1.6100000143051147,0.0656069408052537,24.540086682050976,53.51,70.47,57.59,84.62,140.95,74.06,146.29,59.51,78.54,84.33,60.75,93.54,27.76,22.54,40.11,63.64,68.45,36.98,51.25,52.84,63.24,50.61,68.57,58.68,46.84,80.32,48.54,251.22,48.16,26.58,60.93,118.39,101.76,63.01,84.55,14.53,151.6,48.51,48.02,54.56,189.91,108.35,93.01,90.31,75.11,81.59,103.48,52.18,21.91,19.919,21.723,100.86083874234684,91.69543801500714,,,,,,,,,,,,87000.0,701000.0,884000.0,481.0,104000000.0,972000.0,11800.0,5940000.0,6530.0,127000.0,730000.0,1396.228,13967.908,266.586,3808.34,7660.614,173339.174,1.0,581.195,581.195,41462.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3381,-0.2842,0.019256862745098,,,303.75333333333333,3264.717,1.694,,8321.306,5056.589,2773.434,438.308,40.107,10.448,,,,,,110057.047,383210.562,277726.5,100.0,100.0,2362.89,416.042,11096.396,4329.45,5.758,0.235,0.171,100.0,,7660.614,1396.228,266.586,,,9323.428,8.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,101175.0,100143.0,11417.0,145118.0,145118.0,,,,,,,,0.8910253820960699,383.210562
1923,,,,,,,,,,,,,,,,,,,,,,,,1.340000033378601,0.0667830939185458,20.064958880356382,56.96,59.09,89.11,68.11,122.88,66.14,133.33,63.97,101.93,78.65,55.21,78.94,37.04,23.84,42.47,79.33,86.85,34.42,69.01,68.05,71.8,62.44,69.8,51.14,46.45,77.43,47.69,294.64,47.83,21.57,66.67,148.11,135.49,63.57,98.45,24.33,148.55,48.19,84.76,68.57,176.24,120.08,92.36,90.99,80.69,82.51,101.39,65.59,26.407,24.587,21.723,121.56239930028082,113.18418266353636,,,,,,,,,,,,141000.0,1200000.0,1270000.0,554.0,136000000.0,1080000.0,31100.0,7120000.0,7650.0,130000.0,889000.0,1651.332,15619.24,312.346,4120.686,8922.942,182262.116,0.0,0.0,0.0,41462.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3146,-0.2633,0.042756862745098,,304.69,304.69,3702.996,1.905,,8871.153,5168.157,3149.715,485.534,52.526,12.507,,,,,,113760.039,392081.688,282894.656,100.0,100.0,2442.978,421.878,11732.04,4833.685,6.034,0.24,0.175,100.0,,8922.942,1651.332,312.346,,,10886.62,16.0,7.0,0.0,6.0,0.0,0.0,0.0,6.0,254286.0,3339.0,18230033.0,10871154.0,178216.0,,,,,,,,1.0106430131004367,392.081688
1924,,,,,,,,,,,,,,,,,,,,,,,,1.4299999475479126,0.0669202020668816,21.368733258138363,57.03,56.02,111.54,77.14,100.7,59.42,139.17,86.78,119.28,85.39,89.79,98.46,39.31,24.65,38.28,88.23,73.51,28.6,65.05,79.9,68.75,56.23,57.33,47.34,43.69,78.28,47.6,299.88,50.83,21.54,97.48,143.62,109.32,68.49,89.06,21.41,172.41,53.55,64.25,69.97,163.85,119.87,94.67,90.97,82.45,88.82,100.03,61.57,26.521,25.066,21.723,122.08718869401096,115.38921880034988,,,,,,,,,,,,168000.0,1160000.0,1360000.0,592.0,130000000.0,1220000.0,35300.0,7780000.0,7450.0,142000.0,986000.0,1646.668,17265.908,358.107,4478.793,8688.874,190950.99,0.0,0.0,0.0,41462.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3085,-0.2683,0.048856862745098,,,304.765,3716.143,1.895,,8830.048,5113.906,3155.952,484.185,59.709,13.582,,,,,,117476.18,400911.719,288008.562,100.0,100.0,2471.417,427.799,11725.088,4861.173,5.978,0.246,0.179,100.0,,8688.874,1646.668,358.107,,,10693.649,9.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,303279.0,2242.0,1012390.0,0.0,0.0,,,,,,,,1.0142311681222709,400.911719
1925,,,,,,,,,,,,,,,,,,,,,,,,1.6799999475479126,0.0686105211508372,24.48603974096781,70.21,65.01,127.5,105.79,91.08,57.97,158.37,70.05,125.19,83.95,71.83,116.61,38.62,21.56,40.27,95.84,80.78,30.73,58.84,89.92,80.6,53.37,50.78,42.94,43.11,70.63,46.43,293.2,49.59,26.26,114.95,113.26,101.2,75.75,64.41,58.09,212.84,55.82,36.75,67.84,175.27,115.26,100.72,95.76,84.49,95.24,105.75,56.91,29.381,26.315,22.097,132.96375073539394,119.08856405846949,,,,,,,,,,,,178000.0,1380000.0,1530000.0,591.0,151000000.0,1410000.0,37100.0,8900000.0,7650.0,147000.0,1190000.0,1726.508,18992.416,403.867,4882.66,8710.933,199661.923,2.0,1727.512,900.0,43190.441000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2796,-0.2217,0.077756862745098,,304.84,304.84,3740.633,1.89,,8989.484,5248.851,3153.677,505.524,63.923,14.429,,,,,,121216.82,409901.25,293257.406,100.0,100.0,2494.91,433.645,11913.61,4895.072,6.02,0.251,0.183,100.0,,8710.933,1726.508,403.867,,,10841.308,12.0,4.0,1.0,3.0,0.0,0.0,0.0,8.0,6959.0,819.0,17628.0,783640.0,644326.0,,,,,,,,1.020915120087336,409.90125
1926,,,,,,,,,,,,,,,,,,,,,,,,1.8799999952316284,0.0692666160936644,27.141501942139563,66.24,57.59,83.6,104.77,91.09,63.79,177.66,65.42,89.88,89.41,75.73,105.19,37.97,20.53,39.2,88.61,77.42,33.2,56.84,100.42,76.89,50.89,49.32,43.43,51.66,81.3,45.99,266.95,38.18,31.48,101.73,87.13,69.78,69.39,74.18,39.19,194.66,49.78,36.08,72.48,151.95,95.26,102.2,98.42,78.63,89.37,113.95,55.32,25.758,25.962,20.974,122.80919233336512,123.78182511681128,,,,,,,,,,,,195000.0,1380000.0,1510000.0,602.0,155000000.0,,33900.0,9380000.0,7890.0,146000.0,1410000.0,1771.993,20764.409,449.627,5332.287,8671.808,208333.731,7.0,19186.008,12594.341,62376.44900000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1221,-0.1083,0.235256862745098,,,305.50666666666666,3677.407,1.842,,8943.637,5266.23,3084.044,506.47,69.145,14.74,,,,,,124894.227,418844.875,298523.656,100.0,100.0,2503.082,439.253,11881.277,4825.93,5.95,0.256,0.187,100.0,,8671.808,1771.993,449.627,,,10893.428000000002,15.0,12.0,3.0,7.0,0.0,0.0,0.0,2.0,427852.0,4696.0,40000.0,1790614.0,1790614.0,,,,,,,,1.003659115720524,418.844875
1927,,,,,,,,,,,,,,,,,,,,,,,,1.2999999523162842,0.0679667386760943,19.127002084234583,60.94,83.97,89.16,88.27,89.67,58.5,115.31,79.33,105.67,84.39,77.08,92.54,36.4,20.92,37.4,72.49,70.4,32.89,53.56,100.86,66.61,54.24,49.85,46.34,55.78,84.28,46.86,195.02,42.16,44.07,103.33,88.79,112.47,65.78,78.61,30.59,190.27,43.77,43.72,72.75,148.69,92.06,84.97,79.5,76.33,85.56,84.42,52.55,25.143,24.028,19.85,126.66498740554157,121.04785894206546,,,,,,,,,,,,220000.0,1880000.0,1520000.0,597.0,171000000.0,1540000.0,34500.0,9990000.0,7900.0,161000.0,1420000.0,2023.12,22787.529,495.388,5827.675,9344.693,217678.424,2.0,28453.333,26370.0,90829.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2258,-0.2183,0.131556862745098,,,306.1733333333333,4012.947,1.992,,9284.173,5271.226,3364.399,554.148,76.018,15.448,,,,,,128907.172,428129.031,303794.875,100.0,100.0,2576.853,444.462,12300.549,5221.131,6.105,0.262,0.191,100.0,,9344.693,2023.12,495.388,,,11863.201,10.0,6.0,2.0,4.0,0.0,0.0,0.0,4.0,53270.0,9018.0,253494.0,1089914.0,389342.0,,,,,,,,1.0952366266375546,428.129031
1928,,,,,,,,,,,,,,,,,,,,,,,,1.1699999570846558,0.0670578743495496,17.44761474224263,76.22,102.97,110.94,85.84,84.99,59.32,113.14,66.32,121.27,77.42,77.4,107.85,34.73,21.21,42.33,68.51,76.18,35.25,55.19,80.16,65.27,54.62,49.54,46.99,52.15,82.05,47.52,191.59,42.31,36.2,133.3,101.39,112.08,67.54,75.11,18.32,173.8,42.3,36.6,64.91,147.03,98.43,85.39,80.21,77.05,87.44,83.51,53.66,24.423,23.585,19.85,123.03778337531485,118.816120906801,,,,,,,,,,,,258000.0,2030000.0,1730000.0,603.0,174000000.0,1680000.0,50300.0,10100000.0,8020.0,180000.0,1360000.0,2124.592,24912.121,541.148,6368.823,9178.925,226857.349,8.0,38819.992,36799.277,129649.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2084,-0.2008,0.148956862745098,,306.84,306.84,3996.311,1.966,,9322.984,5326.674,3307.581,567.589,82.623,35.583,,,,,,132903.484,437452.0,309121.562,100.0,100.0,2593.703,449.111,12360.601,5207.193,6.08,0.268,0.196,100.0,,9178.925,2124.592,541.148,,,11844.665,17.0,10.0,2.0,7.0,1.0,0.0,0.0,7.0,3004895.0,3004260.0,8209.0,1328846.0,1328846.0,,,,,,,,1.090696233624454,437.452
1929,,,,,,,,,,,,,,,,,,,,,,,,1.2699999809265137,0.0670578743495496,18.938864275751435,80.77,71.21,101.88,91.53,81.33,52.73,117.14,62.93,115.95,77.27,81.28,89.06,34.73,22.91,53.15,74.27,78.88,33.35,56.67,71.78,70.47,57.53,53.59,47.39,55.62,82.54,47.52,160.91,35.79,29.42,129.41,91.09,101.26,68.37,56.72,16.8,219.11,46.02,28.88,63.23,144.43,83.16,85.79,81.5,74.72,86.1,85.5,55.44,23.266,25.21,19.101,121.8051410920894,131.98261871106226,,,,,,,,,,,,280000.0,2150000.0,1950000.0,609.0,201000000.0,1610000.0,56300.0,10400000.0,8120.0,196000.0,1320000.0,2381.731,27293.852,574.606,6943.429,9761.583,236618.932,3.0,4092.234,2587.333,133742.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3903,-0.3633,-0.0329431372549019,,305.62,305.62,4288.21,2.09,,9670.662,5382.453,3523.884,621.698,102.895,36.873,,,,,,137191.688,447122.656,314504.0,100.0,100.0,2652.586,453.038,12770.862,5543.765,6.223,0.274,0.2,100.0,,9761.583,2381.731,574.606,,,12717.92,5.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,3330.0,60.0,1121.0,974487.0,974487.0,,,,,,,,1.1703629912663756,447.122656
1930,,,,,,,,,,,,,,,,,,,,,,,,1.190000057220459,0.0653438992784702,18.211341385507808,74.86,108.28,93.56,85.39,79.68,54.09,104.63,48.5,104.43,62.44,43.2,67.95,35.48,29.59,39.08,61.57,69.32,34.21,52.38,51.67,50.63,62.26,51.23,48.47,56.31,83.66,48.74,109.72,24.82,23.79,77.27,68.8,74.29,55.6,55.03,8.62,177.08,43.06,21.18,60.55,143.45,66.16,75.83,73.58,64.55,73.58,77.9,51.03,18.277,21.655,18.727,97.59705238425803,115.63517915309448,,,,,,,,,,,,272000.0,1630000.0,1610000.0,648.0,179000000.0,1520000.0,54200.0,11800000.0,7740.0,179000.0,1260000.0,2271.234,29565.086,602.4,7545.829,8920.001,245538.933,7.0,18961.569,18961.569,152703.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1699,-0.16,0.187456862745098,,,305.68,3958.094,1.91,,9396.154,5438.06,3216.251,599.784,104.225,35.561,,,,,,141149.781,456518.812,319942.062,100.0,100.0,2655.139,456.083,12501.47,5201.91,6.034,0.279,0.204,100.0,,8920.001,2271.234,602.4,,,11793.635,21.0,4.0,0.0,3.0,0.0,0.0,0.0,16.0,9054.0,2122.0,52632.0,1094905.0,729937.0,,,,,,,,1.080265829694323,456.518812
1931,,,,,,,,,,,,,,,,,,,,,,,,0.6499999761581421,0.0595990524273842,10.906213264885457,136.81,43.46,172.12,59.56,79.14,51.89,60.42,43.07,72.26,38.41,36.38,51.45,38.08,43.9,26.8,51.86,60.23,37.51,54.11,43.74,44.31,68.41,53.67,54.49,63.05,89.54,53.45,93.47,25.07,16.54,56.52,46.02,33.17,45.0,27.59,5.65,161.81,26.82,20.96,49.7,134.73,60.13,61.0,61.56,57.89,63.84,58.41,52.25,13.61,18.479,15.356,88.62985152383432,120.33732742901798,,,,,,,,,,,,220000.0,1150000.0,1400000.0,695.0,119000000.0,1260000.0,36300.0,7860000.0,6080.0,149000.0,904000.0,2197.512,31762.598,631.024,8176.853,7866.673,253405.606,3.0,1759.3049999999998,1759.3049999999998,154462.88199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1058,-0.0908,0.251556862745098,,305.74,305.74,3539.319,1.692,,9063.629,5524.311,2833.196,580.507,92.889,30.894,,,,,,144689.109,465582.469,325466.344,100.0,100.0,2641.023,458.565,12156.92,4753.062,5.811,0.285,0.208,100.0,,7866.673,2197.512,631.024,,,10695.209,14.0,7.0,1.0,4.0,1.0,0.0,0.0,7.0,3718976.0,3703390.0,36000.0,29021300.0,28219330.0,,,,,,,,0.9659713427947598,465.582469
1932,,,,,,,,,,,,,,,,,,,,,,,,0.8700000047683716,0.0534575073227993,16.274608531874453,110.84,32.08,147.21,40.76,75.06,49.59,92.8,32.36,47.5,37.66,33.3,47.71,42.46,56.4,20.46,43.36,90.44,41.82,58.48,43.89,39.09,79.29,35.75,55.77,64.67,102.89,65.62,107.6,23.36,15.61,77.48,43.39,42.33,39.74,28.83,3.53,138.61,13.59,14.95,33.01,115.27,50.03,63.64,68.11,55.59,52.83,73.54,54.67,10.797,16.883,12.734,84.7887545154704,132.58206376629497,,,,,,,,,,,,153000.0,1000000.0,909000.0,754.0,76200000.0,1050000.0,21800.0,7110000.0,5130.0,96500.0,709000.0,2097.377,33859.975,659.648,8836.501,6994.432,260400.038,5.0,6962.317,4374.544,161425.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.16,0.207356862745098,,308.26,308.26,3192.59,1.511,,8757.925,5565.335,2522.37,555.986,88.22,24.694,,,,,,147881.688,474340.406,331031.719,100.0,100.0,2637.263,460.978,11849.51,4387.373,5.607,0.29,0.212,100.0,,6994.432,2097.377,659.648,,,9751.457,13.0,6.0,0.0,5.0,0.0,0.0,0.0,6.0,4917.0,3274.0,30701.0,672240.0,672240.0,,,,,,,,0.8713400655021835,474.340406
1933,,,,,,,,,,,,,,,,,,,,,,,,0.6700000166893005,0.050719473687879,13.20991658573574,109.11,56.55,176.45,44.93,80.93,52.27,74.11,66.98,65.41,33.74,78.6,69.63,44.75,44.86,27.23,55.62,104.62,44.08,63.98,82.16,57.66,99.15,94.08,55.29,58.03,107.16,102.48,101.56,42.36,16.45,70.12,62.81,55.88,41.89,56.73,6.4,146.09,21.7,21.53,52.33,141.7,75.14,65.4,69.34,68.16,60.29,70.07,64.82,12.591,18.388,14.232,88.46964586846543,129.2017987633502,,,,,,,,,,,,142000.0,1100000.0,1050000.0,793.0,91200000.0,1040000.0,46300.0,8900000.0,5340.0,90400.0,892000.0,2290.273,36150.248,688.273,9524.774,7322.67,267722.708,2.0,1706.73,1706.73,163131.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3283,-0.2858,0.029056862745098,,307.11,307.11,3362.682,1.575,,8883.585,5520.903,2638.807,607.577,90.919,23.839,,,,,,151244.375,483223.969,336552.594,100.0,100.0,2681.514,463.418,12021.46,4587.15,5.631,0.295,0.216,100.0,,7322.67,2290.273,688.273,,,10301.216,10.0,5.0,2.0,3.0,0.0,0.0,0.0,5.0,31442.0,18116.0,3600150.0,980393.0,70872.0,,,,,,,,0.9177625545851528,483.223969
1934,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.052404686639995,19.082262753896597,85.27,51.01,179.8,55.36,102.29,50.59,109.66,102.46,103.13,42.48,87.37,83.73,40.16,42.34,31.65,53.84,76.09,42.66,68.34,106.12,57.61,115.1,68.29,59.94,51.45,99.97,102.94,113.23,51.03,18.81,82.2,78.36,138.35,57.6,64.71,13.58,160.56,33.04,25.56,68.48,209.51,89.02,79.75,82.93,77.95,70.24,88.47,65.96,15.763,18.591,16.854,93.52675922629643,110.30615877536492,,,,,,,,,,,,170000.0,1330000.0,1280000.0,841.0,120000000.0,1200000.0,71600.0,9510000.0,5990.0,122000.0,1060000.0,2416.888,38567.136,716.897,10241.671,7990.401,275713.109,4.0,3558.624,1576.2910000000002,166690.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.177,-0.1275,0.180356862745098,,308.35,308.35,3656.186,1.695,,9230.619,5574.434,2880.47,643.636,101.952,28.514,,,,,,154900.562,492454.562,342127.062,100.0,100.0,2747.974,465.98,12437.094,4933.062,5.766,0.301,0.22,100.0,,7990.401,2416.888,716.897,,,11124.186000000002,8.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,5711.0,5591.0,0.0,1137122.0,1137122.0,,,,,,,,0.9978673580786026,492.454562
1935,,,,,,,,,,,,,,,,,,,,,,,,0.9700000286102296,0.0537218213268676,18.055978085856683,88.42,56.77,288.14,106.36,100.9,49.34,106.94,55.21,125.93,54.12,47.1,86.05,37.17,47.64,31.68,55.08,79.31,41.61,66.28,99.98,58.48,112.72,67.11,60.77,37.36,95.66,100.39,101.0,53.43,17.64,63.86,79.07,124.71,80.07,59.29,12.61,157.72,27.53,33.1,63.01,240.91,79.4,86.18,84.06,79.76,86.06,86.29,64.11,17.294,18.383,16.479,104.9456884519692,111.5540991565022,,,,,,,,,,,,259000.0,1770000.0,1500000.0,924.0,138000000.0,1380000.0,77400.0,10500000.0,6890.0,137000.0,1210000.0,2627.659,41194.795,745.522,10987.193,8334.596,284047.705,1.0,506.0,506.0,167196.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2129,-0.2008,0.144456862745098,,306.32,306.32,3835.741,1.76,,9347.265,5511.523,2998.369,691.96,111.374,32.058,,,,,,158736.297,501801.844,347638.562,100.0,100.0,2798.582,468.761,12606.813,5149.565,5.785,0.307,0.225,100.0,,8334.596,2627.659,745.522,,,11707.777,16.0,8.0,1.0,7.0,0.0,0.0,0.0,7.0,274119.0,204707.0,10313092.0,177956.0,177956.0,,,,,,,,1.0468725436681223,501.801844
1936,,,,,,,,,,,,,,,,,,,,,,,,1.090000033378601,0.0542282796452132,20.100214141217297,90.2,64.46,327.5,110.22,99.39,48.88,116.53,112.84,128.33,52.63,95.19,94.99,36.82,47.19,34.35,63.3,69.02,41.22,70.04,91.23,65.55,113.08,65.98,55.62,43.71,95.97,99.45,127.85,41.15,23.77,67.5,79.3,134.88,80.35,70.1,16.68,163.32,26.97,35.9,64.28,228.37,96.5,90.94,88.54,85.49,90.29,91.53,66.67,18.418,18.677,16.479,111.7664906851144,113.33818799684448,,,,,,,,,,,,360000.0,2830000.0,1720000.0,1030.0,170000000.0,1470000.0,93400.0,11300000.0,7920.0,182000.0,1330000.0,2861.701,44056.496,774.146,11761.339000000002,9155.564,293203.26900000003,8.0,37378.961,29087.695,204575.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171,-0.1508,0.186356862745098,,308.3,308.3,4207.929,1.911,,9852.772,5644.844,3287.721,753.446,125.532,38.736,,,,,,162944.234,511654.625,353283.406,100.0,100.0,2877.57,471.857,13194.023,5580.412,5.992,0.313,0.229,100.0,,9155.564,2861.701,774.146,,,12791.411,20.0,9.0,1.0,5.0,0.0,2.0,0.0,11.0,5886.0,5275.0,221516.0,460412.0,460412.0,,,,,,,,1.1484522379912665,511.654625
